date,location,total_deaths,total_deaths_per_million
2020-01-01,Africa,0.0,0.0
2020-01-01,Asia,0.0,0.0
2020-01-01,Europe,0.0,0.0
2020-01-01,North America,0.0,0.0
2020-01-01,Oceania,0.0,0.0
2020-01-01,South America,0.0,0.0
2020-01-02,Africa,0.0,0.0
2020-01-02,Asia,0.0,0.0
2020-01-02,Europe,0.0,0.0
2020-01-02,North America,0.0,0.0
2020-01-02,Oceania,0.0,0.0
2020-01-02,South America,0.0,0.0
2020-01-03,Africa,0.0,0.0
2020-01-03,Asia,0.0,0.0
2020-01-03,Europe,0.0,0.0
2020-01-03,North America,0.0,0.0
2020-01-03,Oceania,0.0,0.0
2020-01-03,South America,0.0,0.0
2020-01-04,Africa,0.0,0.0
2020-01-04,Asia,0.0,0.0
2020-01-04,Europe,0.0,0.0
2020-01-04,North America,0.0,0.0
2020-01-04,Oceania,0.0,0.0
2020-01-04,South America,0.0,0.0
2020-01-05,Africa,0.0,0.0
2020-01-05,Asia,0.0,0.0
2020-01-05,Europe,0.0,0.0
2020-01-05,North America,0.0,0.0
2020-01-05,Oceania,0.0,0.0
2020-01-05,South America,0.0,0.0
2020-01-06,Africa,0.0,0.0
2020-01-06,Asia,0.0,0.0
2020-01-06,Europe,0.0,0.0
2020-01-06,North America,0.0,0.0
2020-01-06,Oceania,0.0,0.0
2020-01-06,South America,0.0,0.0
2020-01-07,Africa,0.0,0.0
2020-01-07,Asia,0.0,0.0
2020-01-07,Europe,0.0,0.0
2020-01-07,North America,0.0,0.0
2020-01-07,Oceania,0.0,0.0
2020-01-07,South America,0.0,0.0
2020-01-08,Africa,0.0,0.0
2020-01-08,Asia,0.0,0.0
2020-01-08,Europe,0.0,0.0
2020-01-08,North America,0.0,0.0
2020-01-08,Oceania,0.0,0.0
2020-01-08,South America,0.0,0.0
2020-01-09,Africa,0.0,0.0
2020-01-09,Asia,0.0,0.0
2020-01-09,Europe,0.0,0.0
2020-01-09,North America,0.0,0.0
2020-01-09,Oceania,0.0,0.0
2020-01-09,South America,0.0,0.0
2020-01-10,Africa,0.0,0.0
2020-01-10,Asia,0.0,0.0
2020-01-10,Europe,0.0,0.0
2020-01-10,North America,0.0,0.0
2020-01-10,Oceania,0.0,0.0
2020-01-10,South America,0.0,0.0
2020-01-11,Africa,0.0,0.0
2020-01-11,Asia,0.0,0.0
2020-01-11,Europe,0.0,0.0
2020-01-11,North America,0.0,0.0
2020-01-11,Oceania,0.0,0.0
2020-01-11,South America,0.0,0.0
2020-01-12,Africa,0.0,0.0
2020-01-12,Asia,0.0,0.0
2020-01-12,Europe,0.0,0.0
2020-01-12,North America,0.0,0.0
2020-01-12,Oceania,0.0,0.0
2020-01-12,South America,0.0,0.0
2020-01-13,Africa,0.0,0.0
2020-01-13,Asia,0.0,0.0
2020-01-13,Europe,0.0,0.0
2020-01-13,North America,0.0,0.0
2020-01-13,Oceania,0.0,0.0
2020-01-13,South America,0.0,0.0
2020-01-14,Africa,0.0,0.0
2020-01-14,Asia,0.0,0.0
2020-01-14,Europe,0.0,0.0
2020-01-14,North America,0.0,0.0
2020-01-14,Oceania,0.0,0.0
2020-01-14,South America,0.0,0.0
2020-01-15,Africa,0.0,0.0
2020-01-15,Asia,0.0,0.0
2020-01-15,Europe,0.0,0.0
2020-01-15,North America,0.0,0.0
2020-01-15,Oceania,0.0,0.0
2020-01-15,South America,0.0,0.0
2020-01-16,Africa,0.0,0.0
2020-01-16,Asia,0.0,0.0
2020-01-16,Europe,0.0,0.0
